S.N.,plot_id,clump_sn,culm_sn,stump_ht_cm,sample_sn,sample_id,species_code,latin_name,species_name,d30,dbh,base,ht_culmination,length_m,nodes,culm_thickness_cm_bh,remarks,total no of samples,remarks,gree_wt_culm_kg,gree_wt_branch_kg,gree_wt_foliage_kg,total_biomass
78,3-55-Y-4,,1,30,,3-55-Y-4-2,405,Bambusa cupulata,Mal bans,5.3,5,0,12.4,14,40,1.1,NA,353,,16.2,1.8,1.8,19.8
78,3-55-Y-4,,2,30,,3-55-Y-5-3,405,Bambusa cupulata,Mal bans,6.8,6.5,1,15.1,17.5,42,1.4,NA,354,,14.7,2,1.5,18.2
78,Okhaldunga,,1,35,S1,Okhaldunga-S1,414,Dendrocalamus hookeri,Bhalu Bans,5.1,4.7,2.5,9.3,12.1,30,1.1,NA,355,,18.8,2.8,3,24.6
78,Okhaldunga,,2,35,S2,Okhaldunga-S2,414,Dendrocalamus hookeri,Bhalu Bans,7.8,7.7,1.5,10.8,14.5,38,1.5,NA,356,,23.3,3.5,3,29.8
78,Okhaldunga,,3,35,S3,Okhaldunga-S3,414,Dendrocalamus hookeri,Bhalu Bans,10,9.1,2,11.3,14.7,41,2.9,NA,357,,33.2,5.9,4.2,43.3
78,Okhaldunga,,4,35,S4,Okhaldunga-S4,414,Dendrocalamus hookeri,Bhalu Bans,10.1,9.8,2.8,14.3,18.1,41,2.5,NA,358,,30.5,2,3.1,35.6
78,Okhaldunga,,5,35,S5,Okhaldunga-S5,414,Dendrocalamus hookeri,Bhalu Bans,10.3,19.8,1.5,16.6,19,44,2.8,NA,359,,35,2.3,3.5,40.8
78,Okhaldunga,,6,35,S6,Okhaldunga-S6,414,Dendrocalamus hookeri,Bhalu Bans,7.9,7.5,3,12,14.5,36,1.5,NA,360,,24.7,1.9,2.8,29.4
78,Okhaldunga,,7,35,S7,Okhaldunga-S7,414,Dendrocalamus hookeri,Bhalu Bans,5.8,5.5,0.7,13.2,15,34,1.1,NA,361,,19.1,1.8,2.5,23.4
78,Okhaldunga,,8,35,S8,Okhaldunga-S8,414,Dendrocalamus hookeri,Bhalu Bans,11.5,11.1,2.1,16.3,19,35,2.4,NA,362,,37.7,2,3,42.7
78,Okhaldunga,,9,35,S9,Okhaldunga-S9,414,Dendrocalamus hookeri,Bhalu Bans,10.5,10.1,1.7,15.8,18.5,32,2.5,NA,363,,33.8,2.5,2.5,38.8
78,Okhaldunga,,10,35,S10,Okhaldunga-S10,414,Dendrocalamus hookeri,Bhalu Bans,7.7,7.5,1,14.7,18,32,1.7,NA,364,,24,1.7,2,27.7
78,Okhaldunga,,11,35,S11,Okhaldunga-S11,414,Dendrocalamus hookeri,Bhalu Bans,6.5,6.2,1.5,12.1,15,40,1.5,NA,365,,22.7,2.1,3.7,28.5
78,Okhaldunga,,12,35,S12,Okhaldunga-S12,414,Dendrocalamus hookeri,Bhalu Bans,9.9,9.5,0.8,16.2,17.3,42,2.2,NA,366,,30.1,2.7,3.5,36.3
78,Okhaldunga,,13,35,S13,Okhaldunga-S13,414,Dendrocalamus hookeri,Bhalu Bans,10.8,10.4,2.2,17.8,20,44,2.8,NA,367,,28.3,2.1,1.7,32.1
78,Okhaldunga,,14,35,S14,Okhaldunga-S14,414,Dendrocalamus hookeri,Bhalu Bans,7.9,7.5,0.5,13.7,15.8,36,1.7,NA,368,,25.5,1.7,1.8,29
78,Okhaldunga,,15,35,S15,Okhaldunga-S15,414,Dendrocalamus hookeri,Bhalu Bans,6.8,6.2,1,12.3,15,34,1.3,NA,369,,23,2.7,2,27.7
